"","c__Gammaproteobacteria","f__Enterobacteriaceae","o__Enterobacteriales","f__Prevotellaceae","f__Paraprevotellaceae","f__Myxococcales.0319.6G20","s__Myxococcales.sp","c__Lentisphaeria","o__Victivallales","p__Lentisphaerae","g__Streptococcus","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Paraprevotella","g__Blautia","g__Erysipelotrichaceae.cc_115","s__Erysipelotrichaceae.cc_115.sp","s__symbiosum","s__Desulfovibrionaceae.sp","g__Desulfovibrionaceae.unidentified","f__Brevibacteriaceae","s__Brevibacterium.sp","s__ramosum","s__Sphingomonas.sp","s__Tepidimonas.sp","f__Microbacteriaceae","g__Tepidimonas","s__hathewayi","g__Staphylococcus","s__adolescentis","g__Rothia","s__citroniae","s__mucilaginosa","s__distasonis","g__Actinomyces","s__Actinomyces","s__stutzeri","o__Alteromonadales","g__Shewanella","f__Shewanellaceae","c__Bacilli","s__Roseburia.sp","s__Parvimonas.sp","g__Parvimonas","s__fragilis"
"g__Streptococcus",0.0478987886777511,0.260483901200359,0.260483901200359,0.424353442624626,0.291732880738547,0.682791956887727,0.992329392525754,0.801036266746391,0.801036266746391,0.801036266746391,NA,0.667230820242047,0.667230820242047,0.667230820242047,0.800838269742675,0.531002152473969,0.334007356284425,0.334007356284425,0.956017429685129,0.171434205251496,0.171434205251496,0.0354841684388996,0.0354841684388996,0.404272836413585,0.44919633441661,0.286991639949296,0.780343771877515,0.286991639949296,0.647406716085606,0.00136605152406188,0.39726703134415,0.0770758379895851,0.359564164220652,0.0770758379895851,0.304907325012458,0.00248494682012024,0.00248494682012024,0.0613212778360857,0.344877756436976,0.343550370993808,0.343550370993808,4.55413484701239e-11,0.0382137282845403,0.451167847128672,0.451167847128672,0.970021045546393
"c__Coriobacteriia",0.505572711065758,0.239683376473933,0.239683376473933,0.241286857615687,0.178554906563662,0.459585029193511,0.31707454274523,0.388149056499399,0.388149056499399,0.388149056499399,0.667230820242047,NA,0,0,0.490325493342777,0.0829821659312162,0.0710481138030841,0.0710481138030841,0.977364903999719,0.0294301843755855,0.0294301843755855,0.571208122231359,0.571208122231359,0.274105720794635,0.715331344961954,0.0226993669144735,0.422496024000329,0.0226993669144735,0.78419951847639,0.205146613906777,0.582771190655955,0.779187919152674,0.184092140550554,0.779187919152674,0.715331344961954,0.105588808796631,0.105588808796631,0.254357079893314,0.274647507722429,0.254357079893314,0.254357079893314,0.294569549245782,0.178125457566548,0.528308887191455,0.528308887191455,0.174410196653812
"o__Coriobacteriales",0.505572711065758,0.239683376473933,0.239683376473933,0.241286857615687,0.178554906563662,0.459585029193511,0.31707454274523,0.388149056499399,0.388149056499399,0.388149056499399,0.667230820242047,0,NA,0,0.490325493342777,0.0829821659312162,0.0710481138030841,0.0710481138030841,0.977364903999719,0.0294301843755855,0.0294301843755855,0.571208122231359,0.571208122231359,0.274105720794635,0.715331344961954,0.0226993669144735,0.422496024000329,0.0226993669144735,0.78419951847639,0.205146613906777,0.582771190655955,0.779187919152674,0.184092140550554,0.779187919152674,0.715331344961954,0.105588808796631,0.105588808796631,0.254357079893314,0.274647507722429,0.254357079893314,0.254357079893314,0.294569549245782,0.178125457566548,0.528308887191455,0.528308887191455,0.174410196653812
"f__Coriobacteriaceae",0.505572711065758,0.239683376473933,0.239683376473933,0.241286857615687,0.178554906563662,0.459585029193511,0.31707454274523,0.388149056499399,0.388149056499399,0.388149056499399,0.667230820242047,0,0,NA,0.490325493342777,0.0829821659312162,0.0710481138030841,0.0710481138030841,0.977364903999719,0.0294301843755855,0.0294301843755855,0.571208122231359,0.571208122231359,0.274105720794635,0.715331344961954,0.0226993669144735,0.422496024000329,0.0226993669144735,0.78419951847639,0.205146613906777,0.582771190655955,0.779187919152674,0.184092140550554,0.779187919152674,0.715331344961954,0.105588808796631,0.105588808796631,0.254357079893314,0.274647507722429,0.254357079893314,0.254357079893314,0.294569549245782,0.178125457566548,0.528308887191455,0.528308887191455,0.174410196653812
"g__Paraprevotella",0.240429722153595,0.41077254243185,0.41077254243185,0.156013812514036,0.996805777572035,0.470730148235532,0.702949637000498,0.292008894601614,0.292008894601614,0.292008894601614,0.800838269742675,0.490325493342777,0.490325493342777,0.490325493342777,NA,0.753472749112367,0.147621065273154,0.147621065273154,0.516869553866302,0.011631459500371,0.011631459500371,0.335922805032037,0.335922805032037,0.447852998360537,0.256280714740235,0.300005654290258,0.863757956435462,0.300005654290258,0.595103462088057,0.395296722119067,0.478341732350337,0.288773181856129,0.427022456520825,0.288773181856129,0.256280714740235,0.887475853506571,0.887475853506571,0.335922805032037,0.0799752155760973,0.335922805032037,0.335922805032037,0.501063545156546,0.906416656355003,0.593616915039855,0.593616915039855,0.723225571906791
"g__Blautia",0.0387317427146656,0.0505620610264312,0.0505620610264312,0.604389595055341,0.866796798499068,0.69819872268189,0.810647919990017,0.569562281484318,0.569562281484318,0.569562281484318,0.531002152473969,0.0829821659312162,0.0829821659312162,0.0829821659312162,0.753472749112367,NA,0.405367906161032,0.405367906161032,0.404712309209519,0.452448126194868,0.452448126194868,0.320634354605693,0.320634354605693,0.70108150868593,0.876408513927312,0.0205823343185814,0.527407398156054,0.0205823343185814,0.965309577701246,0.022684162881665,0.0663042411210228,0.713517693890045,0.932430559881644,0.713517693890045,0.770562021017194,0.127398941869565,0.127398941869565,0.496461194416508,0.657688523196784,0.466974827145796,0.466974827145796,0.0409671655190973,0.475340109948851,0.235083764600122,0.235083764600122,0.986245061250045
"g__Erysipelotrichaceae.cc_115",0.179849890659515,0.257396139675236,0.257396139675236,0.903375394141716,0.419826780166777,0.304275492429419,0.257692301852129,0.133561084283608,0.133561084283608,0.133561084283608,0.334007356284425,0.0710481138030841,0.0710481138030841,0.0710481138030841,0.147621065273154,0.405367906161032,NA,0,0.860182250847976,0.00240230593257218,0.00240230593257218,0.492976564463154,0.492976564463154,0.216164173744972,0.41937651312539,0.180386215212561,0.408579415194479,0.180386215212561,0.917201666802877,0.122749622647689,0.653417862343701,0.452619853415289,0.422817068866514,0.452619853415289,0.41937651312539,0.148733641620187,0.148733641620187,0.492976564463154,0.216686032089434,0.492976564463154,0.492976564463154,0.174943558064452,0.41937651312539,0.703001812519798,0.703001812519798,0.215379747169612
"s__Erysipelotrichaceae.cc_115.sp",0.179849890659515,0.257396139675236,0.257396139675236,0.903375394141716,0.419826780166777,0.304275492429419,0.257692301852129,0.133561084283608,0.133561084283608,0.133561084283608,0.334007356284425,0.0710481138030841,0.0710481138030841,0.0710481138030841,0.147621065273154,0.405367906161032,0,NA,0.860182250847976,0.00240230593257218,0.00240230593257218,0.492976564463154,0.492976564463154,0.216164173744972,0.41937651312539,0.180386215212561,0.408579415194479,0.180386215212561,0.917201666802877,0.122749622647689,0.653417862343701,0.452619853415289,0.422817068866514,0.452619853415289,0.41937651312539,0.148733641620187,0.148733641620187,0.492976564463154,0.216686032089434,0.492976564463154,0.492976564463154,0.174943558064452,0.41937651312539,0.703001812519798,0.703001812519798,0.215379747169612
"s__symbiosum",0.33884241188104,0.517298092438276,0.517298092438276,0.027294684853381,0.256746682476016,0.623459243337678,0.244345136398981,0.109278767262295,0.109278767262295,0.109278767262295,0.956017429685129,0.977364903999719,0.977364903999719,0.977364903999719,0.516869553866302,0.404712309209519,0.860182250847976,0.860182250847976,NA,0.108902009417939,0.108902009417939,0.816658714670535,0.816658714670535,0.98704511640838,0.939306954768378,0.626651111831523,0.999222305744262,0.626651111831523,0.145968941901991,0.773964224306554,0.697759215350919,0.2959815009672,0.707979633832538,0.2959815009672,0.256280714740235,0.699293241444077,0.699293241444077,0.651134240615169,0.0370624271100977,0.00115323629482011,0.00115323629482011,0.581868453919693,0.327967456025855,0.593616915039855,0.593616915039855,0.155808768849981
"s__Desulfovibrionaceae.sp",0.634613364250753,0.943989911896996,0.943989911896996,0.0735005201828041,0.775041497129622,0.147183835281635,0.109504737870386,0.198117755993741,0.198117755993741,0.198117755993741,0.171434205251496,0.0294301843755855,0.0294301843755855,0.0294301843755855,0.011631459500371,0.452448126194868,0.00240230593257218,0.00240230593257218,0.108902009417939,NA,0,0.335922805032037,0.335922805032037,0.487597956592873,0.939306954768378,0.4123053086565,0.951810677781595,0.4123053086565,0.109278767262295,0.108426110537124,0.353533324070727,0.656287771508824,0.0391902421520207,0.656287771508824,0.939306954768378,0.171640399393799,0.171640399393799,0.335922805032037,0.0799752155760973,0.335922805032037,0.335922805032037,0.0532232143170344,0.256280714740235,0.593616915039855,0.593616915039855,0.0790948884077958
