"","c__Gammaproteobacteria","f__Enterobacteriaceae","o__Enterobacteriales","f__Prevotellaceae","f__Paraprevotellaceae","f__Myxococcales.0319.6G20","s__Myxococcales.sp","c__Lentisphaeria","o__Victivallales","p__Lentisphaerae","g__Streptococcus","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Paraprevotella","g__Paraprevotella.1","g__Blautia","g__Erysipelotrichaceae.cc_115","s__Erysipelotrichaceae.cc_115.sp","s__symbiosum.","s__Desulfovibrionaceae.sp","g__Desulfovibrionaceae.unidentified","f__Brevibacteriaceae","s__Brevibacterium.sp","s__ramosum.","s__Sphingomonas.sp","s__Tepidimonas.sp","f__Microbacteriaceae","g__Tepidimonas","s__hathewayi.","g__Staphylococcus","s__adolescentis.","g__Rothia","s__citroniae.","s__mucilaginosa.","s__distasonis.","g__Actinomyces","s__Actinomyces","s__stutzeri.","o__Alteromonadales","g__Shewanella","f__Shewanellaceae","c__Bacilli","s__Roseburia.sp","s__Parvimonas.sp","g__Parvimonas","s__fragilis."
"g__Paraprevotella",-0.178496153527547,-0.167121516652095,-0.167121516652095,-0.0483883270989309,0.0167045889427731,0.0524256619574201,0.0144310924238479,-0.020154649149184,-0.020154649149184,-0.020154649149184,-0.12693185602513,-0.0199283005980534,-0.0199283005980534,-0.0199283005980534,1,1,0.0711757425359685,0.331567282553901,0.331567282553901,-0.14372047767582,0.218726942696335,0.218726942696335,-0.120129773703206,-0.120129773703206,-0.0674428116463366,-0.108214304701273,-0.115424925052114,-0.0597972089574234,-0.115424925052114,-0.0931150839328115,-0.159357246590292,-0.156491626815292,-0.198677078506363,0.0435085560542384,-0.196493019506724,-0.117389403120043,-0.0174922997973162,-0.0174922997973162,-0.100004331428307,-0.207888889036263,-0.141578202309084,-0.141578202309084,-0.182321643601659,-0.093711370687613,-0.075857407823595,-0.075857407823595,0.464557181951195
"g__Paraprevotella.1",-0.178496153527547,-0.167121516652095,-0.167121516652095,-0.0483883270989309,0.0167045889427731,0.0524256619574201,0.0144310924238479,-0.020154649149184,-0.020154649149184,-0.020154649149184,-0.12693185602513,-0.0199283005980534,-0.0199283005980534,-0.0199283005980534,1,1,0.0711757425359685,0.331567282553901,0.331567282553901,-0.14372047767582,0.218726942696335,0.218726942696335,-0.120129773703206,-0.120129773703206,-0.0674428116463366,-0.108214304701273,-0.115424925052114,-0.0597972089574234,-0.115424925052114,-0.0931150839328115,-0.159357246590292,-0.156491626815292,-0.198677078506363,0.0435085560542384,-0.196493019506724,-0.117389403120043,-0.0174922997973162,-0.0174922997973162,-0.100004331428307,-0.207888889036263,-0.141578202309084,-0.141578202309084,-0.182321643601659,-0.093711370687613,-0.075857407823595,-0.075857407823595,0.464557181951195
"g__Blautia",-0.381666250294551,-0.370099890237866,-0.370099890237866,-0.186875808781224,-0.0723446862939242,0.0559498139493341,-0.0457264545693113,0.0160932058706142,0.0160932058706142,0.0160932058706142,-0.136158925596486,0.0107444604275231,0.0107444604275231,0.0107444604275231,0.0711757425359685,0.0711757425359685,1,0.256005696682395,0.256005696682395,0.246375315840405,-0.00239860156255872,-0.00239860156255872,-0.181055586228002,-0.181055586228002,-0.0515304140051783,0.0750998991480172,-0.334535723244527,-0.0538191574793233,-0.334535723244527,-0.0953014743283014,-0.392670946546442,-0.00702587411403939,-0.220252093253949,-0.179839725123434,-0.226247407242714,-0.194735831950061,-0.141667092141586,-0.141667092141586,-0.0752172700973837,0.0498959351518118,-0.139145454475916,-0.139145454475916,-0.358508844134073,0.151143720907795,-0.16367918128983,-0.16367918128983,-0.00684373094308753
"g__Erysipelotrichaceae.cc_115",-0.157739021421933,-0.152548585956049,-0.152548585956049,-0.120086578134843,-0.096521084770048,-0.109025591968735,-0.131899212612831,0.356857006371443,0.356857006371443,0.356857006371443,-0.0595825539414918,0.135549926765623,0.135549926765623,0.135549926765623,0.331567282553901,0.331567282553901,0.256005696682395,1,1,-0.0493082866685912,0.399635378534218,0.399635378534218,-0.100748313385412,-0.100748313385412,-0.145434069657516,-0.0779675482137906,-0.144814006600248,0.0244642405681074,-0.144814006600248,-0.112076847936059,-0.221474833678701,-0.132628608555224,-0.100655159046706,-0.186196210794346,-0.0979567501383732,-0.0936616215972958,-0.145593950446309,-0.145593950446309,-0.0786990033770384,-0.162969693650101,-0.110986962145046,-0.110986962145046,-0.177135137615126,-0.0920131173562145,-0.0616160808093883,-0.0616160808093883,-0.138462685883048
"s__Erysipelotrichaceae.cc_115.sp",-0.157739021421933,-0.152548585956049,-0.152548585956049,-0.120086578134843,-0.096521084770048,-0.109025591968735,-0.131899212612831,0.356857006371443,0.356857006371443,0.356857006371443,-0.0595825539414918,0.135549926765623,0.135549926765623,0.135549926765623,0.331567282553901,0.331567282553901,0.256005696682395,1,1,-0.0493082866685912,0.399635378534218,0.399635378534218,-0.100748313385412,-0.100748313385412,-0.145434069657516,-0.0779675482137906,-0.144814006600248,0.0244642405681074,-0.144814006600248,-0.112076847936059,-0.221474833678701,-0.132628608555224,-0.100655159046706,-0.186196210794346,-0.0979567501383732,-0.0936616215972958,-0.145593950446309,-0.145593950446309,-0.0786990033770384,-0.162969693650101,-0.110986962145046,-0.110986962145046,-0.177135137615126,-0.0920131173562145,-0.0616160808093883,-0.0616160808093883,-0.138462685883048
"s__symbiosum.",-0.140866224004604,-0.133036181135032,-0.133036181135032,-0.23398849912186,-0.132734867016036,-0.0797321591637693,-0.0497167612998173,-0.152774044938064,-0.152774044938064,-0.152774044938064,-0.120952235330571,0.0526140987921944,0.0526140987921944,0.0526140987921944,-0.14372047767582,-0.14372047767582,0.246375315840405,-0.0493082866685912,-0.0493082866685912,1,-0.172983163551248,-0.172983163551248,-0.0817563475806102,-0.0817563475806102,-0.133845876793082,-0.0919488290696594,-0.0707676019070325,0.00268371815346879,-0.0707676019070325,0.389777036896719,-0.119320717799702,-0.055772287998902,0.0250182271055884,0.0964498774334963,0.0262156765151538,-0.100926881677027,-0.145751026607505,-0.145751026607505,-0.0155663278441833,0.0758916806536386,0.154819884260813,0.154819884260813,-0.160138100882784,-0.0767918007275124,-0.0703046571623417,-0.0703046571623417,-0.0933139873083582
"s__Desulfovibrionaceae.sp",-0.16799711727025,-0.158451250569903,-0.158451250569903,0.158887227333433,0.241738845127807,-0.163391259483534,-0.164131859034857,0.0208443200438653,0.0208443200438653,0.0208443200438653,-0.175726892127717,0.0750161895736786,0.0750161895736786,0.0750161895736786,0.218726942696335,0.218726942696335,-0.00239860156255872,0.399635378534218,0.399635378534218,-0.172983163551248,1,1,-0.126831698118416,-0.126831698118416,-0.104444735405057,-0.105806930146899,-0.0414238746844564,0.0407235460016301,-0.0414238746844564,-0.189704977436423,-0.23881448358299,-0.118700773597988,-0.19282431818006,-0.249548547640973,-0.19048095046133,-0.103286255904431,-0.166017965120006,-0.166017965120006,-0.0995575001732072,-0.209863718027601,-0.142923116603242,-0.142923116603242,-0.256616897052958,-0.0781343858083597,-0.0788095545916982,-0.0788095545916982,-0.176036059207629
"g__Desulfovibrionaceae.unidentified",-0.16799711727025,-0.158451250569903,-0.158451250569903,0.158887227333433,0.241738845127807,-0.163391259483534,-0.164131859034857,0.0208443200438653,0.0208443200438653,0.0208443200438653,-0.175726892127717,0.0750161895736786,0.0750161895736786,0.0750161895736786,0.218726942696335,0.218726942696335,-0.00239860156255872,0.399635378534218,0.399635378534218,-0.172983163551248,1,1,-0.126831698118416,-0.126831698118416,-0.104444735405057,-0.105806930146899,-0.0414238746844564,0.0407235460016301,-0.0414238746844564,-0.189704977436423,-0.23881448358299,-0.118700773597988,-0.19282431818006,-0.249548547640973,-0.19048095046133,-0.103286255904431,-0.166017965120006,-0.166017965120006,-0.0995575001732072,-0.209863718027601,-0.142923116603242,-0.142923116603242,-0.256616897052958,-0.0781343858083597,-0.0788095545916982,-0.0788095545916982,-0.176036059207629
"f__Brevibacteriaceae",0.0235232921544345,-0.0184862150217782,-0.0184862150217782,-0.0470400524421797,-0.0970557062722343,-0.113134347881827,-0.00872831333085599,-0.122716591849878,-0.122716591849878,-0.122716591849878,0.809691404391511,0.798017202682725,0.798017202682725,0.798017202682725,-0.120129773703206,-0.120129773703206,-0.181055586228002,-0.100748313385412,-0.100748313385412,-0.0817563475806102,-0.126831698118416,-0.126831698118416,1,1,-0.0741998548609207,0.265332023552274,0.0648917616018573,-0.0421021462952489,0.0648917616018573,-0.13114622532424,0.59641862854469,-0.0270276004211251,0.0102718498460379,-0.140766611587266,0.0134819142922187,-0.0846283781758491,0.17537905897969,0.17537905897969,-0.0473298344227266,0.0308790622504121,0.0825588200370572,0.0825588200370572,0.554169267779843,0.255157940086296,-0.0473470148429334,-0.0473470148429334,-0.0900062997039781
"s__Brevibacterium.sp",0.0235232921544345,-0.0184862150217782,-0.0184862150217782,-0.0470400524421797,-0.0970557062722343,-0.113134347881827,-0.00872831333085599,-0.122716591849878,-0.122716591849878,-0.122716591849878,0.809691404391511,0.798017202682725,0.798017202682725,0.798017202682725,-0.120129773703206,-0.120129773703206,-0.181055586228002,-0.100748313385412,-0.100748313385412,-0.0817563475806102,-0.126831698118416,-0.126831698118416,1,1,-0.0741998548609207,0.265332023552274,0.0648917616018573,-0.0421021462952489,0.0648917616018573,-0.13114622532424,0.59641862854469,-0.0270276004211251,0.0102718498460379,-0.140766611587266,0.0134819142922187,-0.0846283781758491,0.17537905897969,0.17537905897969,-0.0473298344227266,0.0308790622504121,0.0825588200370572,0.0825588200370572,0.554169267779843,0.255157940086296,-0.0473470148429334,-0.0473470148429334,-0.0900062997039781
