"","f__Prevotellaceae","f__Paraprevotellaceae","g__Paraprevotella","g__Blautia","s__symbiosum","s__ramosum","f__Microbacteriaceae","s__hathewayi","g__Staphylococcus","s__adolescentis","s__citroniae","s__distasonis","s__stutzeri","o__Alteromonadales","s__fragilis","c__Gammaproteobacteria.f__Enterobacteriaceae.o__Enterobacteriales","f__Myxococcales.0319.6G20.s__Myxococcales.sp","c__Lentisphaeria.o__Victivallales.p__Lentisphaerae","g__Streptococcus.f__Brevibacteriaceae.s__Brevibacterium.sp.c__Bacilli","c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae","g__Erysipelotrichaceae.cc_115.s__Erysipelotrichaceae.cc_115.sp","s__Desulfovibrionaceae.sp.g__Desulfovibrionaceae.unidentified","s__Sphingomonas.sp.g__Actinomyces.s__Actinomyces.s__Roseburia.sp","s__Tepidimonas.sp.g__Tepidimonas","g__Rothia.s__mucilaginosa","g__Shewanella.f__Shewanellaceae","s__Parvimonas.sp.g__Parvimonas"
"s__stutzeri",0.825003046849042,0.38801912981411,0.335922805032037,0.496461194416508,0.651134240615169,0.960881870462983,0.151119102674529,0.759683836045894,0.017054769881113,0.974870175949643,0.98821489317614,0.275643611067018,NA,0.0010840992209149,0.0974122193448499,0.870278506953693,0.336720290570138,0.558993691100319,0.0739030840028934,0.254357079893314,0.492976564463154,0.335922805032037,0.272558778305979,0.361242511458892,0.00180821299767953,0.168303768041176,0.745532012078822
"o__Alteromonadales",0.480013122217128,0.850910626892327,0.0799752155760973,0.657688523196784,0.0370624271100977,0.620295421183322,0.0251069192911355,0.759536265611531,0.0517691648490761,0.64972722618684,0.594202179411365,0.879774694652214,0.0010840992209149,NA,0.00967733755509337,0.173583048877807,0.941907989081609,0.498888312927632,0.119153500244665,0.274647507722429,0.216686032089434,0.0799752155760973,0.200065849717096,0.0503292860827345,0.0012640626767606,0.00111410682708035,0.561609340475521
"s__fragilis",0.0151641768650888,0.215229410141538,0.723225571906791,0.986245061250045,0.155808768849981,0.0129061006488023,0.53738266620526,0.322816825939289,0.100954970332608,0.52224975777375,0.362047574734806,0.996949764947932,0.0974122193448499,0.00967733755509337,NA,0.242930090155208,0.911907661942738,0.0794172841564822,0.786803834349046,0.174410196653812,0.215379747169612,0.0790948884077958,0.387274856156022,0.399620015091067,0.124114687318049,0.00859213256447644,0.560519216545843
"c__Gammaproteobacteria.f__Enterobacteriaceae.o__Enterobacteriales",0.195175257036135,0.822438958814504,0.264264269538458,0.0431983347949827,0.340094533434654,0.139684996996811,0.311114641350703,0.0576288055674068,0.0179919522191749,0.296339226643831,0.0353703389454243,0.743411436344014,0.870278506953693,0.173583048877807,0.242930090155208,NA,0.110935039673607,0.451686586541449,0.00157027704684287,0.472529567176247,0.180998183440902,0.71258238765219,0.168318686358827,0.41341305089845,0.52634594775192,0.735400510256523,0.530429376855047
"f__Myxococcales.0319.6G20.s__Myxococcales.sp",0.802321372882608,0.881358518015527,0.702949637000498,0.863229577640362,0.269294386770445,0.291806995637429,0.964295335106896,0.38018905515029,0.465483203417944,0.0422292300767457,0.504426049227276,0.257070939914162,0.336720290570138,0.941907989081609,0.911907661942738,0.110935039673607,NA,0.631781055410611,0.412533883671396,0.31707454274523,0.257692301852129,0.109504737870386,0.333766653861539,0.538436619841617,0.273864097082426,0.583078263670666,0.594218880997248
"c__Lentisphaeria.o__Victivallales.p__Lentisphaerae",0.000295629323350699,0.0117358160229462,0.292008894601614,0.569562281484318,0.109278767262295,0.432445930986294,0.721980429013253,0.734985774273899,0.206060001352329,0.690473157193491,0.0372256806960194,0.908627005078934,0.558993691100319,0.498888312927632,0.0794172841564822,0.451686586541449,0.631781055410611,NA,0.503175671745776,0.388149056499399,0.133561084283608,0.198117755993741,0.131560403434458,0.286215373400771,0.222294222950298,0.336421553614475,0.59399345616189
"g__Streptococcus.f__Brevibacteriaceae.s__Brevibacterium.sp.c__Bacilli",0.36425272673339,0.266903899376602,0.540511140777283,0.0836658744433332,0.685667730994298,0.446582012361114,0.842248423194107,0.503175671745776,9.08471196869876e-06,0.557150855112687,0.472026078544849,0.28110269113134,0.0739030840028934,0.119153500244665,0.786803834349046,0.00157027704684287,0.412533883671396,0.503175671745776,NA,0.336363118850951,0.189562554575897,0.0618015342592177,3.51646266230077e-05,0.0672919458609198,0.129433722198978,0.325402790661674,0.368939684114194
"c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae",0.241286857615687,0.178554906563662,0.490325493342777,0.0829821659312162,0.977364903999719,0.274105720794635,0.422496024000329,0.78419951847639,0.205146613906777,0.582771190655955,0.184092140550554,0.715331344961954,0.254357079893314,0.274647507722429,0.174410196653812,0.472529567176247,0.31707454274523,0.388149056499399,0.336363118850951,NA,0.0710481138030841,0.0294301843755855,0.14229501910466,0.0226993669144735,0.779187919152674,0.254357079893314,0.528308887191455
"g__Erysipelotrichaceae.cc_115.s__Erysipelotrichaceae.cc_115.sp",0.903375394141716,0.419826780166777,0.147621065273154,0.405367906161032,0.860182250847976,0.216164173744972,0.408579415194479,0.917201666802877,0.122749622647689,0.653417862343701,0.422817068866514,0.41937651312539,0.492976564463154,0.216686032089434,0.215379747169612,0.180998183440902,0.257692301852129,0.133561084283608,0.189562554575897,0.0710481138030841,NA,0.00240230593257218,0.0989362358142725,0.180386215212561,0.452619853415289,0.492976564463154,0.703001812519798
"s__Desulfovibrionaceae.sp.g__Desulfovibrionaceae.unidentified",0.0735005201828041,0.775041497129622,0.011631459500371,0.452448126194868,0.108902009417939,0.487597956592873,0.951810677781595,0.109278767262295,0.108426110537124,0.353533324070727,0.0391902421520207,0.939306954768378,0.335922805032037,0.0799752155760973,0.0790948884077958,0.71258238765219,0.109504737870386,0.198117755993741,0.0618015342592177,0.0294301843755855,0.00240230593257218,NA,0.258421042766721,0.4123053086565,0.656287771508824,0.335922805032037,0.593616915039855
