"","c__Gammaproteobacteria","f__Enterobacteriaceae","o__Enterobacteriales","f__Prevotellaceae","f__Paraprevotellaceae","f__Myxococcales.0319.6G20","s__Myxococcales.sp","c__Lentisphaeria","o__Victivallales","p__Lentisphaerae","g__Streptococcus","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Paraprevotella","g__Blautia","g__Erysipelotrichaceae.cc_115","s__Erysipelotrichaceae.cc_115.sp","s__symbiosum","s__Desulfovibrionaceae.sp","g__Desulfovibrionaceae.unidentified","f__Brevibacteriaceae","s__Brevibacterium.sp","s__ramosum","s__Sphingomonas.sp","s__Tepidimonas.sp","f__Microbacteriaceae","g__Tepidimonas","s__hathewayi","g__Staphylococcus","s__adolescentis","g__Rothia","s__citroniae","s__mucilaginosa","s__distasonis","g__Actinomyces","s__Actinomyces","s__stutzeri","o__Alteromonadales","g__Shewanella","f__Shewanellaceae","c__Bacilli","s__Roseburia.sp","s__Parvimonas.sp","g__Parvimonas","s__fragilis"
"g__Streptococcus",0.0917158507896555,-0.00225014162274521,-0.00225014162274521,-0.0863954395470172,-0.174122426406576,-0.0224243055720544,0.00134174893582269,0.0142891312478043,0.0142891312478043,0.0142891312478043,1,0.654407538818271,0.654407538818271,0.654407538818271,-0.123512234629736,-0.107755824428057,-0.105551605177628,-0.105551605177628,-0.109652129070984,-0.209683561115598,-0.209683561115598,0.791683038873441,0.791683038873441,-0.194938589277207,0.0359120775989246,0.0329557798387941,0.0235583169666418,0.0329557798387941,-0.077853893177971,0.63745607261656,0.101955630204524,0.146427131240941,-0.142807484629197,0.146427131240941,-0.143648310395698,0.140307973920192,0.140307973920192,0.080858726720913,0.0537792504220387,0.126188616281267,0.126188616281267,0.791454786136431,0.0872150455973882,0.0419175767646292,0.0419175767646292,-0.144623028176282
"c__Coriobacteriia",-0.0989836039765722,-0.182007952097704,-0.182007952097704,0.0694489101815279,-0.14215518655551,-0.135193210867562,-0.164480993179142,0.0872517595418834,0.0872517595418834,0.0872517595418834,0.654407538818271,1,1,1,-0.0331912794260559,0.0485367550435025,0.111429574679207,0.111429574679207,0.0389660015668411,0.0533946669027856,0.0533946669027856,0.746788672507338,0.746788672507338,-0.0766473460499749,-0.097944650594101,-0.231800443430632,-0.158304290364976,-0.231800443430632,0.0769025864005773,0.306759865666848,-0.0107838102543682,-0.176333383211442,-0.227021329015316,-0.176333383211442,-0.097944650594101,-0.192924209713921,-0.192924209713921,-0.110635281142527,-0.108076026691128,-0.144909465525992,-0.144909465525992,0.320098867605818,-0.12371955864518,-0.0842385326996852,-0.0842385326996852,-0.173575344171585
"o__Coriobacteriales",-0.0989836039765722,-0.182007952097704,-0.182007952097704,0.0694489101815279,-0.14215518655551,-0.135193210867562,-0.164480993179142,0.0872517595418834,0.0872517595418834,0.0872517595418834,0.654407538818271,1,1,1,-0.0331912794260559,0.0485367550435025,0.111429574679207,0.111429574679207,0.0389660015668411,0.0533946669027856,0.0533946669027856,0.746788672507338,0.746788672507338,-0.0766473460499749,-0.097944650594101,-0.231800443430632,-0.158304290364976,-0.231800443430632,0.0769025864005773,0.306759865666848,-0.0107838102543682,-0.176333383211442,-0.227021329015316,-0.176333383211442,-0.097944650594101,-0.192924209713921,-0.192924209713921,-0.110635281142527,-0.108076026691128,-0.144909465525992,-0.144909465525992,0.320098867605818,-0.12371955864518,-0.0842385326996852,-0.0842385326996852,-0.173575344171585
"f__Coriobacteriaceae",-0.0989836039765722,-0.182007952097704,-0.182007952097704,0.0694489101815279,-0.14215518655551,-0.135193210867562,-0.164480993179142,0.0872517595418834,0.0872517595418834,0.0872517595418834,0.654407538818271,1,1,1,-0.0331912794260559,0.0485367550435025,0.111429574679207,0.111429574679207,0.0389660015668411,0.0533946669027856,0.0533946669027856,0.746788672507338,0.746788672507338,-0.0766473460499749,-0.097944650594101,-0.231800443430632,-0.158304290364976,-0.231800443430632,0.0769025864005773,0.306759865666848,-0.0107838102543682,-0.176333383211442,-0.227021329015316,-0.176333383211442,-0.097944650594101,-0.192924209713921,-0.192924209713921,-0.110635281142527,-0.108076026691128,-0.144909465525992,-0.144909465525992,0.320098867605818,-0.12371955864518,-0.0842385326996852,-0.0842385326996852,-0.173575344171585
"g__Paraprevotella",-0.180760618336512,-0.163371729000518,-0.163371729000518,-0.0467534044644403,-0.0355806526816899,0.0404501531462551,-0.00242031797878682,-0.0257754937134346,-0.0257754937134346,-0.0257754937134346,-0.123512234629736,-0.0331912794260559,-0.0331912794260559,-0.0331912794260559,1,0.0770800102638136,0.335006874118207,0.335006874118207,-0.127843971372804,0.203367875647668,0.203367875647668,-0.116577951409252,-0.116577951409252,-0.0687992436768009,-0.111051621503845,-0.170911233776844,-0.0823355022893211,-0.170911233776844,-0.0737889251848355,-0.146400880374752,-0.169393533952123,-0.203644553528617,0.0269138219114138,-0.203644553528617,-0.111051621503845,-0.0532831523927505,-0.0532831523927505,-0.0993070740063617,-0.19853182216508,-0.130071843887424,-0.130071843887424,-0.145152891972112,-0.0647801125439093,-0.0756131508376434,-0.0756131508376434,0.478277612755881
"g__Blautia",-0.364620318795611,-0.351792888366137,-0.351792888366137,-0.134400832642618,-0.0507887031136225,0.0872107762897728,-0.00939279651829308,0.0282135384905092,0.0282135384905092,0.0282135384905092,-0.107755824428057,0.0485367550435025,0.0485367550435025,0.0485367550435025,0.0770800102638136,1,0.240066121428915,0.240066121428915,0.205944193438341,-0.0569721814993405,-0.0569721814993405,-0.188507079390628,-0.188507079390628,-0.0527401201617433,0.0279332633558457,-0.358872990491261,-0.130560040015465,-0.358872990491261,-0.0708204299578296,-0.386294646978293,0.0626080268268594,-0.242569172477585,-0.156671182232552,-0.242569172477585,-0.171590046328767,-0.172318201115448,-0.172318201115448,-0.0843044957058523,-0.0116737040861832,-0.168261412081916,-0.168261412081916,-0.318952308990324,0.127694918198152,-0.17117353391333,-0.17117353391333,-0.0343723147677966
"g__Erysipelotrichaceae.cc_115",-0.159612190048449,-0.145377760063142,-0.145377760063142,-0.0869900257155441,-0.10386842057969,-0.131708692227253,-0.149733954715646,0.355997683790974,0.355997683790974,0.355997683790974,-0.105551605177628,0.111429574679207,0.111429574679207,0.111429574679207,0.335006874118207,0.240066121428915,1,1,-0.0325385809460168,0.389234605540219,0.389234605540219,-0.0948966093350029,-0.0948966093350029,-0.149343619345225,-0.0903980745456177,-0.169369451317274,0.0210024806920854,-0.169369451317274,-0.0808255331488024,-0.2020416852551,-0.126070373213139,-0.120048744528035,-0.172584136916369,-0.120048744528035,-0.0903980745456177,-0.173493887501989,-0.173493887501989,-0.0808377955888151,-0.161608576414482,-0.105880887471907,-0.105880887471907,-0.170183277442745,-0.0903980745456177,-0.0615505037521103,-0.0615505037521103,-0.141573391171746
"s__Erysipelotrichaceae.cc_115.sp",-0.159612190048449,-0.145377760063142,-0.145377760063142,-0.0869900257155441,-0.10386842057969,-0.131708692227253,-0.149733954715646,0.355997683790974,0.355997683790974,0.355997683790974,-0.105551605177628,0.111429574679207,0.111429574679207,0.111429574679207,0.335006874118207,0.240066121428915,1,1,-0.0325385809460168,0.389234605540219,0.389234605540219,-0.0948966093350029,-0.0948966093350029,-0.149343619345225,-0.0903980745456177,-0.169369451317274,0.0210024806920854,-0.169369451317274,-0.0808255331488024,-0.2020416852551,-0.126070373213139,-0.120048744528035,-0.172584136916369,-0.120048744528035,-0.0903980745456177,-0.173493887501989,-0.173493887501989,-0.0808377955888151,-0.161608576414482,-0.105880887471907,-0.105880887471907,-0.170183277442745,-0.0903980745456177,-0.0615505037521103,-0.0615505037521103,-0.141573391171746
"s__symbiosum",-0.13692562510195,-0.119990382705041,-0.119990382705041,-0.246679236468456,-0.126232120806092,-0.0282470515082572,0.00394368450276495,-0.172610392263927,-0.172610392263927,-0.172610392263927,-0.109652129070984,0.0389660015668411,0.0389660015668411,0.0389660015668411,-0.127843971372804,0.205944193438341,-0.0325385809460168,-0.0325385809460168,1,-0.16402622742171,-0.16402622742171,-0.0746243927455112,-0.0746243927455112,-0.110322613352957,-0.0883200307984663,-0.0847560191122561,0.0414220840033782,-0.0847560191122561,0.319695851466778,-0.11013320046691,-0.0923792290454686,0.0220587541533101,0.0769675181059809,0.0220587541533101,-0.109861501724922,-0.136431386649328,-0.136431386649328,-0.0549003985066724,0.118682747752916,0.189232188069922,0.189232188069922,-0.166160954524817,-0.0667785598720111,-0.0748028186233096,-0.0748028186233096,-0.0877144526977931
"s__Desulfovibrionaceae.sp",-0.165441921867316,-0.148150760460097,-0.148150760460097,0.140260213393321,0.240476135365904,-0.161800612585021,-0.183944166387799,0.00396546057129763,0.00396546057129763,0.00396546057129763,-0.209683561115598,0.0533946669027856,0.0533946669027856,0.0533946669027856,0.203367875647668,-0.0569721814993405,0.389234605540219,0.389234605540219,-0.16402622742171,1,1,-0.116577951409252,-0.116577951409252,-0.0687992436768009,-0.087915867023877,-0.059447385661511,0.0770235343996875,-0.059447385661511,-0.180901881098306,-0.23365968324712,-0.154874088184798,-0.188522433217086,-0.247030436829763,-0.188522433217086,-0.087915867023877,-0.193151427423721,-0.193151427423721,-0.0993070740063617,-0.19853182216508,-0.130071843887424,-0.130071843887424,-0.264456638798506,-0.111051621503845,-0.0756131508376434,-0.0756131508376434,-0.173919131911229
